date,value
2017-01-06 08:31:00,0.328571
2017-01-06 08:32:00,0.341597
2017-01-06 08:33:00,0.354622
2017-01-06 08:34:00,0.367647
2017-01-06 08:35:00,0.380672
2017-01-06 08:36:00,0.393697
2017-01-06 08:37:00,0.406723
2017-01-06 08:38:00,0.419748
2017-01-06 08:39:00,0.432773
2017-01-06 08:40:00,0.445798
2017-01-06 08:41:00,0.458824
2017-01-06 08:42:00,0.471849
2017-01-06 08:43:00,0.484874
2017-01-06 08:44:00,0.497899
2017-01-06 08:45:00,0.510924
2017-01-06 08:46:00,0.52395
2017-01-06 08:47:00,0.536975
2017-01-06 08:48:00,0.55
2017-01-06 08:49:00,1.1
2017-01-06 08:50:00,0.733333
2017-01-06 08:51:00,0.366667
2017-01-06 08:52:00,0.744444
2017-01-06 08:53:00,1.12222
2017-01-06 08:54:00,1.5
2017-01-06 08:55:00,3.0
2017-01-06 08:56:00,2.25
2017-01-06 08:57:00,1.5
2017-01-06 08:58:00,0.75
2017-01-06 08:59:00,0.791667
2017-01-06 09:00:00,0.833333
2017-01-06 09:01:00,1.66667
2017-01-06 09:02:00,2.5
2017-01-06 09:03:00,2.4
2017-01-06 09:04:00,2.3
2017-01-06 09:05:00,2.2
2017-01-06 09:06:00,2.1
2017-01-06 09:07:00,1.76667
2017-01-06 09:08:00,1.43333
2017-01-06 09:09:00,1.1
2017-01-06 09:10:00,0.55
2017-01-06 09:11:00,0.488889
2017-01-06 09:12:00,0.427778
2017-01-06 09:13:00,0.366667
2017-01-06 09:14:00,0.733333
2017-01-06 09:15:00,1.1
2017-01-06 09:16:00,0.88
2017-01-06 09:17:00,0.66
2017-01-06 09:18:00,0.44
2017-01-06 09:19:00,0.22
2017-01-06 09:20:00,0.297143
2017-01-06 09:21:00,0.374286
2017-01-06 09:22:00,0.451429
2017-01-06 09:23:00,0.528571
2017-01-06 09:24:00,0.605714
2017-01-06 09:25:00,0.682857
2017-01-06 09:26:00,0.76
2017-01-06 09:27:00,0.837143
2017-01-06 09:28:00,0.914286
2017-01-06 09:29:00,0.991429
2017-01-06 09:30:00,1.06857
2017-01-06 09:31:00,1.14571
2017-01-06 09:32:00,1.22286
2017-01-06 09:33:00,1.3
2017-01-06 09:34:00,1.18182
2017-01-06 09:35:00,1.06364
2017-01-06 09:36:00,0.945455
2017-01-06 09:37:00,0.827273
2017-01-06 09:38:00,0.709091
2017-01-06 09:39:00,0.590909
2017-01-06 09:40:00,0.472727
2017-01-06 09:41:00,0.354545
2017-01-06 09:42:00,0.236364
2017-01-06 09:43:00,0.118182
2017-01-06 09:44:00,0.167424
2017-01-06 09:45:00,0.216667
2017-01-06 09:46:00,0.433333
2017-01-06 09:47:00,0.65
2017-01-06 09:48:00,0.866667
2017-01-06 09:49:00,1.08333
2017-01-06 09:50:00,1.3
2017-01-06 09:51:00,0.9
2017-01-06 09:52:00,0.5
2017-01-06 09:53:00,1.0
2017-01-06 09:54:00,1.5
2017-01-06 09:55:00,1.5
2017-01-06 09:56:00,1.5
2017-01-06 09:57:00,1.5
2017-01-06 09:58:00,1.5
2017-01-06 09:59:00,1.5
2017-01-06 10:00:00,1.5
2017-01-06 10:01:00,1.53333
2017-01-06 10:02:00,1.56667
2017-01-06 10:03:00,1.6
2017-01-06 10:04:00,1.63333
2017-01-06 10:05:00,1.66667
2017-01-06 10:06:00,1.7
2017-01-06 10:07:00,1.73333
2017-01-06 10:08:00,1.76667
2017-01-06 10:09:00,1.8
2017-01-06 10:10:00,1.83333
2017-01-06 10:11:00,1.86667
2017-01-06 10:12:00,1.9
