value,date
116.11642,2017-01-01 00:00:00
116.11906,2017-01-01 00:01:00
116.11665,2017-01-01 00:02:00
116.11877,2017-01-01 00:03:00
116.11641000000002,2017-01-01 00:04:00
116.11823,2017-01-01 00:05:00
116.11691,2017-01-01 00:06:00
116.11834,2017-01-01 00:07:00
116.11744,2017-01-01 00:08:00
116.11784,2017-01-01 00:09:00
116.11715,2017-01-01 00:10:00
116.11794,2017-01-01 00:11:00
116.11784,2017-01-01 00:12:00
116.11788,2017-01-01 00:13:00
116.11829,2017-01-01 00:14:00
116.11739,2017-01-01 00:15:00
116.11822,2017-01-01 00:16:00
116.11694,2017-01-01 00:17:00
116.11861,2017-01-01 00:18:00
116.11736,2017-01-01 00:19:00
116.11832,2017-01-01 00:20:00
116.11787,2017-01-01 00:21:00
116.11806,2017-01-01 00:22:00
116.11777,2017-01-01 00:23:00
116.11744,2017-01-01 00:24:00
116.1179,2017-01-01 00:25:00
116.1178,2017-01-01 00:26:00
116.11741,2017-01-01 00:27:00
116.11807,2017-01-01 00:28:00
116.11769,2017-01-01 00:29:00
116.11845,2017-01-01 00:30:00
116.11706,2017-01-01 00:31:00
116.11769,2017-01-01 00:32:00
116.11782,2017-01-01 00:33:00
116.11786,2017-01-01 00:34:00
116.11733,2017-01-01 00:35:00
116.1187,2017-01-01 00:36:00
116.11729,2017-01-01 00:37:00
116.11777,2017-01-01 00:38:00
116.1174,2017-01-01 00:39:00
116.11795,2017-01-01 00:40:00
116.11817,2017-01-01 00:41:00
116.11829,2017-01-01 00:42:00
116.11714,2017-01-01 00:43:00
116.11832,2017-01-01 00:44:00
116.1169,2017-01-01 00:45:00
116.11802,2017-01-01 00:46:00
116.11779,2017-01-01 00:47:00
116.11759,2017-01-01 00:48:00
116.11768,2017-01-01 00:49:00
116.11823,2017-01-01 00:50:00
116.11707,2017-01-01 00:51:00
116.11768,2017-01-01 00:52:00
116.11826,2017-01-01 00:53:00
116.11795,2017-01-01 00:54:00
116.11789,2017-01-01 00:55:00
116.11773,2017-01-01 00:56:00
116.11833,2017-01-01 00:57:00
116.11799,2017-01-01 00:58:00
116.11722,2017-01-01 00:59:00
93.78949,2017-01-01 01:00:00
93.790215,2017-01-01 01:01:00
93.789772,2017-01-01 01:02:00
93.788986,2017-01-01 01:03:00
93.790039,2017-01-01 01:04:00
93.789444,2017-01-01 01:05:00
93.790169,2017-01-01 01:06:00
93.789848,2017-01-01 01:07:00
93.790222,2017-01-01 01:08:00
93.789803,2017-01-01 01:09:00
93.79007,2017-01-01 01:10:00
93.789665,2017-01-01 01:11:00
93.790039,2017-01-01 01:12:00
93.789406,2017-01-01 01:13:00
93.789536,2017-01-01 01:14:00
93.789581,2017-01-01 01:15:00
93.790054,2017-01-01 01:16:00
93.789886,2017-01-01 01:17:00
93.790604,2017-01-01 01:18:00
93.78968,2017-01-01 01:19:00
93.790253,2017-01-01 01:20:00
93.789047,2017-01-01 01:21:00
93.790131,2017-01-01 01:22:00
93.790176,2017-01-01 01:23:00
93.78994,2017-01-01 01:24:00
93.790138,2017-01-01 01:25:00
93.790421,2017-01-01 01:26:00
93.789284,2017-01-01 01:27:00
93.789391,2017-01-01 01:28:00
93.790215,2017-01-01 01:29:00
93.790588,2017-01-01 01:30:00
93.78997,2017-01-01 01:31:00
93.78949,2017-01-01 01:32:00
93.789574,2017-01-01 01:33:00
93.790024,2017-01-01 01:34:00
93.789993,2017-01-01 01:35:00
93.789688,2017-01-01 01:36:00
93.790215,2017-01-01 01:37:00
93.789169,2017-01-01 01:38:00
93.789932,2017-01-01 01:39:00
93.78933,2017-01-01 01:40:00
93.789597,2017-01-01 01:41:00
93.789566,2017-01-01 01:42:00
93.790154,2017-01-01 01:43:00
93.789772,2017-01-01 01:44:00
93.79023,2017-01-01 01:45:00
93.789108,2017-01-01 01:46:00
93.78968,2017-01-01 01:47:00
93.790451,2017-01-01 01:48:00
93.789604,2017-01-01 01:49:00
93.790031,2017-01-01 01:50:00
93.789841,2017-01-01 01:51:00
93.790459,2017-01-01 01:52:00
93.789574,2017-01-01 01:53:00
93.79084,2017-01-01 01:54:00
93.789429,2017-01-01 01:55:00
93.790146,2017-01-01 01:56:00
93.79026,2017-01-01 01:57:00
93.790543,2017-01-01 01:58:00
93.789742,2017-01-01 01:59:00
77.011864,2017-01-01 02:00:00
77.012688,2017-01-01 02:01:00
77.011887,2017-01-01 02:02:00
77.012047,2017-01-01 02:03:00
77.011925,2017-01-01 02:04:00
77.01220699999998,2017-01-01 02:05:00
77.01254300000002,2017-01-01 02:06:00
77.012314,2017-01-01 02:07:00
77.01218399999998,2017-01-01 02:08:00
77.01216099999998,2017-01-01 02:09:00
77.011971,2017-01-01 02:10:00
77.011803,2017-01-01 02:11:00
77.01258100000003,2017-01-01 02:12:00
77.011986,2017-01-01 02:13:00
77.012192,2017-01-01 02:14:00
77.011612,2017-01-01 02:15:00
77.012505,2017-01-01 02:16:00
77.01179499999998,2017-01-01 02:17:00
77.01265,2017-01-01 02:18:00
77.01134499999998,2017-01-01 02:19:00
77.01261099999998,2017-01-01 02:20:00
77.011749,2017-01-01 02:21:00
77.012024,2017-01-01 02:22:00
77.011581,2017-01-01 02:23:00
77.01211500000002,2017-01-01 02:24:00
77.012276,2017-01-01 02:25:00
77.01175699999997,2017-01-01 02:26:00
77.011902,2017-01-01 02:27:00
77.012253,2017-01-01 02:28:00
77.011131,2017-01-01 02:29:00
77.01218399999998,2017-01-01 02:30:00
77.012398,2017-01-01 02:31:00
77.012505,2017-01-01 02:32:00
77.012741,2017-01-01 02:33:00
77.01179499999998,2017-01-01 02:34:00
77.01239,2017-01-01 02:35:00
77.012985,2017-01-01 02:36:00
77.01232900000002,2017-01-01 02:37:00
77.012833,2017-01-01 02:38:00
77.01151999999998,2017-01-01 02:39:00
77.01191700000003,2017-01-01 02:40:00
77.01215400000002,2017-01-01 02:41:00
77.01213100000002,2017-01-01 02:42:00
77.01217700000002,2017-01-01 02:43:00
77.011948,2017-01-01 02:44:00
77.01178,2017-01-01 02:45:00
77.012794,2017-01-01 02:46:00
77.010902,2017-01-01 02:47:00
77.012627,2017-01-01 02:48:00
77.01211500000002,2017-01-01 02:49:00
77.01217700000002,2017-01-01 02:50:00
77.011955,2017-01-01 02:51:00
77.011589,2017-01-01 02:52:00
77.011604,2017-01-01 02:53:00
77.012878,2017-01-01 02:54:00
77.011765,2017-01-01 02:55:00
77.012245,2017-01-01 02:56:00
77.011909,2017-01-01 02:57:00
77.012695,2017-01-01 02:58:00
77.01162,2017-01-01 02:59:00
71.92701,2017-01-01 03:00:00
71.927635,2017-01-01 03:01:00
71.926804,2017-01-01 03:02:00
71.927498,2017-01-01 03:03:00
71.926743,2017-01-01 03:04:00
71.927086,2017-01-01 03:05:00
71.926987,2017-01-01 03:06:00
71.926613,2017-01-01 03:07:00
71.92662800000002,2017-01-01 03:08:00
71.926582,2017-01-01 03:09:00
71.927132,2017-01-01 03:10:00
71.92690999999998,2017-01-01 03:11:00
71.927719,2017-01-01 03:12:00
71.92693299999998,2017-01-01 03:13:00
71.92704,2017-01-01 03:14:00
71.92701,2017-01-01 03:15:00
71.92746,2017-01-01 03:16:00
71.926964,2017-01-01 03:17:00
71.92774200000002,2017-01-01 03:18:00
71.927628,2017-01-01 03:19:00
71.926979,2017-01-01 03:20:00
71.92714699999998,2017-01-01 03:21:00
71.927208,2017-01-01 03:22:00
71.927032,2017-01-01 03:23:00
71.927254,2017-01-01 03:24:00
71.927063,2017-01-01 03:25:00
71.927216,2017-01-01 03:26:00
71.92643699999998,2017-01-01 03:27:00
71.927391,2017-01-01 03:28:00
71.927155,2017-01-01 03:29:00
71.927689,2017-01-01 03:30:00
71.926743,2017-01-01 03:31:00
71.927223,2017-01-01 03:32:00
71.927116,2017-01-01 03:33:00
71.926613,2017-01-01 03:34:00
71.927353,2017-01-01 03:35:00
71.927544,2017-01-01 03:36:00
71.92797900000002,2017-01-01 03:37:00
71.927193,2017-01-01 03:38:00
71.927925,2017-01-01 03:39:00
71.927002,2017-01-01 03:40:00
71.92688000000003,2017-01-01 03:41:00
71.927666,2017-01-01 03:42:00
71.92746700000002,2017-01-01 03:43:00
71.926361,2017-01-01 03:44:00
71.927132,2017-01-01 03:45:00
71.926292,2017-01-01 03:46:00
71.927406,2017-01-01 03:47:00
71.92707800000002,2017-01-01 03:48:00
71.927605,2017-01-01 03:49:00
71.927063,2017-01-01 03:50:00
71.927376,2017-01-01 03:51:00
71.926765,2017-01-01 03:52:00
71.927498,2017-01-01 03:53:00
71.92757399999998,2017-01-01 03:54:00
71.927826,2017-01-01 03:55:00
71.927017,2017-01-01 03:56:00
71.927139,2017-01-01 03:57:00
71.926903,2017-01-01 03:58:00
71.927017,2017-01-01 03:59:00
98.854774,2017-01-01 04:00:00
98.85569,2017-01-01 04:01:00
98.854988,2017-01-01 04:02:00
98.855316,2017-01-01 04:03:00
98.854858,2017-01-01 04:04:00
98.856247,2017-01-01 04:05:00
98.854584,2017-01-01 04:06:00
98.855141,2017-01-01 04:07:00
98.854828,2017-01-01 04:08:00
98.855553,2017-01-01 04:09:00
98.854996,2017-01-01 04:10:00
98.854889,2017-01-01 04:11:00
98.855164,2017-01-01 04:12:00
98.855217,2017-01-01 04:13:00
98.855095,2017-01-01 04:14:00
98.855209,2017-01-01 04:15:00
98.854858,2017-01-01 04:16:00
98.855942,2017-01-01 04:17:00
98.855209,2017-01-01 04:18:00
98.855118,2017-01-01 04:19:00
98.855606,2017-01-01 04:20:00
98.854431,2017-01-01 04:21:00
98.855133,2017-01-01 04:22:00
98.854782,2017-01-01 04:23:00
98.855583,2017-01-01 04:24:00
98.854782,2017-01-01 04:25:00
98.855179,2017-01-01 04:26:00
98.855003,2017-01-01 04:27:00
98.855682,2017-01-01 04:28:00
98.854843,2017-01-01 04:29:00
98.855545,2017-01-01 04:30:00
98.855843,2017-01-01 04:31:00
98.855057,2017-01-01 04:32:00
98.855782,2017-01-01 04:33:00
98.854408,2017-01-01 04:34:00
98.855438,2017-01-01 04:35:00
98.855011,2017-01-01 04:36:00
98.855675,2017-01-01 04:37:00
98.85511,2017-01-01 04:38:00
98.85453,2017-01-01 04:39:00
98.855362,2017-01-01 04:40:00
98.855202,2017-01-01 04:41:00
